ZIP Code,Cases,Cases Per 10000 Residents,Deaths,Number of Records
27605,28,53,1,1
28904,13,14,0,1
27310,30,35,1,1
27706,0,0,0,1
27248,31,64,1,1
27583,22,31,0,1
27249,62,46,0,1
28761,44,52,1,1
28667,0,0,0,1
27299,36,69,0,1
28515,10,29,1,1
28320,35,37,2,1
27917,1,9,0,1
28774,5,32,0,1
28269,929,114,12,1
27408,79,45,0,1
27539,106,40,1,1
27866,9,134,1,1
28033,17,51,1,1
28081,232,82,0,1
27330,619,157,7,1
27958,19,16,0,1
28625,255,66,0,1
27938,3,21,0,1
28526,7,29,0,1
27834,405,70,3,1
27881,0,0,0,1
28341,183,360,1,1
28423,24,105,0,1
27298,78,75,0,1
28119,34,112,0,1
28054,413,103,2,1
27214,59,50,1,1
28391,20,38,0,1
27014,2,21,0,1
28462,94,66,1,1
27844,33,109,0,1
28768,17,22,0,1
28128,61,75,0,1
27505,86,118,3,1
28668,0,0,0,1
27209,125,301,5,1
28529,13,51,0,1
28103,85,75,0,1
27617,107,55,0,1
28789,20,31,0,1
28743,3,12,0,1
28306,213,50,3,1
27302,222,69,0,1
28683,3,16,0,1
28675,21,31,0,1
27349,16,27,0,1
28640,10,21,0,1
28655,989,170,20,1
27258,45,58,0,1
28443,106,47,0,1
28207,103,106,0,1
27842,8,56,0,1
27355,34,106,0,1
28339,57,79,0,1
28570,58,26,1,1
27871,37,83,1,1
27025,26,23,0,1
27101,149,61,0,1
27701,421,159,4,1
27526,209,39,6,1
28672,0,0,0,1
28901,17,28,0,1
28466,243,234,4,1
27242,12,45,0,1
28692,16,36,0,1
28634,47,89,0,1
27816,17,65,0,1
28120,153,63,1,1
27857,27,169,1,1
28749,0,,0,1
Missing,"1,979",,14,1
28115,215,52,3,1
28624,12,63,0,1
27513,177,36,1,1
27970,15,47,3,1
28399,36,186,1,1
28704,120,55,0,1
27542,75,75,3,1
28610,72,70,0,1
28532,45,17,1,1
28720,0,0,0,1
28403,334,80,1,1
27937,11,26,1,1
27576,328,162,3,1
28521,30,133,0,1
27405,571,109,9,1
28533,0,,0,1
28117,240,50,1,1
27371,94,121,1,1
28360,178,119,5,1
28613,208,82,2,1
27020,69,113,2,1
27858,232,40,2,1
28693,4,24,0,1
28435,8,27,0,1
27925,58,139,1,1
28902,5,32,0,1
27253,245,78,1,1
